Title,Category,Source,Date,Sentiment,Views,Sentiment Positive,Sentiment Negative,Sentiment Neutral,Is Market Category,Is Regulation Category,High Views (Above 20000),Source CoinDesk
Bitcoin Mining Faces Energy Concerns,Mining,Forbes Crypto,2024-07-15,Positive,1591,1,,,,,,
Bitcoin Hits New All-Time High,Investment,Forbes Crypto,2024-12-19,Positive,47733,1,,,,,1,
Bitcoin Halving Event Sparks Investor Interest,Mining,CoinTelegraph,2025-01-03,Positive,11475,1,,,,,,
Bitcoin Mining Faces Energy Concerns,Regulation,CryptoSlate,2024-07-21,Positive,35452,1,,,,1,1,
Bitcoin Halving Event Sparks Investor Interest,Mining,Bitcoin Magazine,2024-08-29,Positive,47668,1,,,,,1,
Bitcoin Price Volatility Increases,Adoption,Bitcoin Magazine,2024-09-18,Negative,18884,,1,,,,,
Regulators Crack Down on Bitcoin Exchanges,Mining,CoinDesk,2024-11-06,Negative,19904,,1,,,,,1
Crypto Market Sees Sharp Decline,Adoption,CoinTelegraph,2024-08-19,Negative,28969,,1,,,,1,
Bitcoin Price Volatility Increases,Mining,CoinDesk,2025-03-13,Negative,37112,,1,,,,1,1
Bitcoin Price Volatility Increases,Adoption,CoinDesk,2024-09-27,Positive,18858,1,,,,,,1
Bitcoin Mining Faces Energy Concerns,Investment,CoinTelegraph,2024-06-13,Negative,49818,,1,,,,1,
Bitcoin Hits New All-Time High,Market,Forbes Crypto,2024-07-02,Positive,19790,1,,,1,,,
Bitcoin Halving Event Sparks Investor Interest,Market,Forbes Crypto,2024-05-10,Negative,27010,,1,,1,,1,
Countries Debate Crypto Regulations,Regulation,CoinTelegraph,2025-01-02,Negative,10732,,1,,,1,,
Major Bank Adopts Blockchain Technology,Mining,CoinDesk,2024-07-08,Negative,29657,,1,,,,1,1
Crypto Market Sees Sharp Decline,Adoption,CryptoSlate,2025-01-09,Neutral,25694,,,1,,,1,
Countries Debate Crypto Regulations,Mining,Forbes Crypto,2024-05-25,Negative,16611,,1,,,,,
Bitcoin Mining Faces Energy Concerns,Investment,Bitcoin Magazine,2024-12-17,Neutral,40157,,,1,,,1,
Bitcoin Price Volatility Increases,Regulation,CoinTelegraph,2025-02-19,Neutral,4438,,,1,,1,,
Crypto Market Sees Sharp Decline,Mining,Bitcoin Magazine,2025-01-11,Negative,26243,,1,,,,1,
Bitcoin Halving Event Sparks Investor Interest,Mining,CoinDesk,2025-01-30,Neutral,15552,,,1,,,,1
Bitcoin Mining Faces Energy Concerns,Investment,Bitcoin Magazine,2024-06-01,Neutral,2700,,,1,,,,
Regulators Crack Down on Bitcoin Exchanges,Adoption,CoinDesk,2024-08-05,Positive,31968,1,,,,,1,1
Regulators Crack Down on Bitcoin Exchanges,Adoption,CoinTelegraph,2024-07-09,Negative,5349,,1,,,,,
Bitcoin Mining Faces Energy Concerns,Market,CoinDesk,2024-05-30,Positive,1059,1,,,1,,,1
Elon Musk Tweets About Crypto Again,Mining,CoinDesk,2024-05-04,Neutral,22512,,,1,,,1,1
New Crypto ETF Gains Approval,Adoption,CoinTelegraph,2024-12-28,Neutral,27600,,,1,,,1,
New Crypto ETF Gains Approval,Investment,Bitcoin Magazine,2024-06-11,Negative,45213,,1,,,,1,
Regulators Crack Down on Bitcoin Exchanges,Market,CryptoSlate,2024-06-27,Positive,48681,1,,,1,,1,
Crypto Market Sees Sharp Decline,Adoption,CoinTelegraph,2024-07-25,Positive,41898,1,,,,,1,
Bitcoin Hits New All-Time High,Investment,CryptoSlate,2024-07-05,Positive,9405,1,,,,,,
Major Bank Adopts Blockchain Technology,Investment,CoinDesk,2024-10-16,Negative,47709,,1,,,,1,1
Bitcoin Hits New All-Time High,Mining,CoinDesk,2024-06-24,Neutral,39110,,,1,,,1,1
Countries Debate Crypto Regulations,Regulation,Bitcoin Magazine,2024-09-27,Negative,17023,,1,,,1,,
Bitcoin Halving Event Sparks Investor Interest,Mining,Forbes Crypto,2024-10-20,Positive,27144,1,,,,,1,
Crypto Market Sees Sharp Decline,Mining,Bitcoin Magazine,2025-02-24,Negative,41927,,1,,,,1,
Major Bank Adopts Blockchain Technology,Investment,Forbes Crypto,2025-01-13,Negative,38911,,1,,,,1,
Bitcoin Hits New All-Time High,Market,CoinDesk,2024-10-29,Neutral,4550,,,1,1,,,1
Bitcoin Halving Event Sparks Investor Interest,Investment,CoinTelegraph,2024-11-19,Neutral,31400,,,1,,,1,
New Crypto ETF Gains Approval,Regulation,CoinDesk,2024-07-24,Positive,22616,1,,,,1,1,1
Bitcoin Halving Event Sparks Investor Interest,Investment,CryptoSlate,2024-12-16,Neutral,4798,,,1,,,,
Bitcoin Hits New All-Time High,Investment,CoinDesk,2024-06-12,Neutral,25948,,,1,,,1,1
New Crypto ETF Gains Approval,Mining,CoinTelegraph,2024-06-30,Negative,23681,,1,,,,1,
Bitcoin Hits New All-Time High,Market,CoinDesk,2024-05-17,Neutral,16217,,,1,1,,,1
Elon Musk Tweets About Crypto Again,Investment,CoinDesk,2025-02-03,Positive,5908,1,,,,,,1
Regulators Crack Down on Bitcoin Exchanges,Market,CoinTelegraph,2024-09-02,Positive,30199,1,,,1,,1,
New Crypto ETF Gains Approval,Market,Forbes Crypto,2024-10-11,Negative,22295,,1,,1,,1,
New Crypto ETF Gains Approval,Regulation,CoinTelegraph,2024-04-09,Neutral,11836,,,1,,1,,
Countries Debate Crypto Regulations,Regulation,Forbes Crypto,2024-06-29,Positive,33167,1,,,,1,1,
Bitcoin Halving Event Sparks Investor Interest,Regulation,Forbes Crypto,2024-07-15,Positive,31523,1,,,,1,1,
Major Bank Adopts Blockchain Technology,Adoption,Forbes Crypto,2024-06-30,Neutral,38942,,,1,,,1,
Elon Musk Tweets About Crypto Again,Market,CoinDesk,2024-06-08,Negative,23988,,1,,1,,1,1
Bitcoin Price Volatility Increases,Adoption,Forbes Crypto,2024-05-12,Neutral,20819,,,1,,,1,
Regulators Crack Down on Bitcoin Exchanges,Market,CryptoSlate,2024-05-16,Positive,42859,1,,,1,,1,
Crypto Market Sees Sharp Decline,Investment,CoinTelegraph,2024-04-15,Negative,26468,,1,,,,1,
Bitcoin Halving Event Sparks Investor Interest,Investment,CoinTelegraph,2024-10-15,Negative,12583,,1,,,,,
Bitcoin Price Volatility Increases,Market,Forbes Crypto,2024-03-26,Negative,16940,,1,,1,,,
Countries Debate Crypto Regulations,Adoption,Forbes Crypto,2024-04-30,Neutral,27827,,,1,,,1,
Bitcoin Mining Faces Energy Concerns,Mining,Forbes Crypto,2024-05-28,Positive,29889,1,,,,,1,
Elon Musk Tweets About Crypto Again,Regulation,Bitcoin Magazine,2025-01-08,Negative,45577,,1,,,1,1,
New Crypto ETF Gains Approval,Adoption,CryptoSlate,2025-01-12,Negative,44714,,1,,,,1,
Major Bank Adopts Blockchain Technology,Mining,CoinDesk,2024-10-15,Negative,26534,,1,,,,1,1
Bitcoin Hits New All-Time High,Investment,Forbes Crypto,2024-08-23,Neutral,15044,,,1,,,,
Bitcoin Price Volatility Increases,Market,CoinTelegraph,2024-06-06,Negative,11305,,1,,1,,,
Bitcoin Hits New All-Time High,Adoption,Bitcoin Magazine,2025-02-04,Positive,28306,1,,,,,1,
Major Bank Adopts Blockchain Technology,Investment,Bitcoin Magazine,2024-09-14,Negative,11577,,1,,,,,
Elon Musk Tweets About Crypto Again,Market,CryptoSlate,2024-05-17,Positive,25239,1,,,1,,1,
Bitcoin Mining Faces Energy Concerns,Investment,CoinDesk,2025-03-02,Positive,23786,1,,,,,1,1
New Crypto ETF Gains Approval,Adoption,Forbes Crypto,2024-04-22,Negative,32633,,1,,,,1,
New Crypto ETF Gains Approval,Market,CoinDesk,2024-04-17,Negative,26036,,1,,1,,1,1
New Crypto ETF Gains Approval,Market,CryptoSlate,2024-07-24,Neutral,8483,,,1,1,,,
Bitcoin Price Volatility Increases,Investment,CoinDesk,2025-01-20,Neutral,37187,,,1,,,1,1
Bitcoin Mining Faces Energy Concerns,Market,Forbes Crypto,2025-02-17,Neutral,31875,,,1,1,,1,
Major Bank Adopts Blockchain Technology,Adoption,CryptoSlate,2024-08-04,Positive,7768,1,,,,,,
Bitcoin Hits New All-Time High,Investment,CoinTelegraph,2025-01-21,Positive,16339,1,,,,,,
New Crypto ETF Gains Approval,Market,Bitcoin Magazine,2024-10-21,Negative,21536,,1,,1,,1,
Countries Debate Crypto Regulations,Market,CoinDesk,2025-01-26,Positive,14582,1,,,1,,,1
Major Bank Adopts Blockchain Technology,Mining,CoinTelegraph,2024-04-11,Positive,38281,1,,,,,1,
Bitcoin Price Volatility Increases,Market,Forbes Crypto,2024-08-30,Negative,35848,,1,,1,,1,
Bitcoin Mining Faces Energy Concerns,Regulation,CoinTelegraph,2024-05-25,Neutral,5429,,,1,,1,,
Bitcoin Price Volatility Increases,Regulation,CryptoSlate,2024-04-21,Negative,3943,,1,,,1,,
Bitcoin Halving Event Sparks Investor Interest,Regulation,Forbes Crypto,2024-11-12,Neutral,13881,,,1,,1,,
Crypto Market Sees Sharp Decline,Market,CoinDesk,2024-05-21,Neutral,1516,,,1,1,,,1
Elon Musk Tweets About Crypto Again,Market,CryptoSlate,2025-02-07,Negative,37834,,1,,1,,1,
Major Bank Adopts Blockchain Technology,Adoption,CoinDesk,2024-04-09,Negative,35650,,1,,,,1,1
Countries Debate Crypto Regulations,Market,CoinTelegraph,2024-05-26,Neutral,46267,,,1,1,,1,
Bitcoin Hits New All-Time High,Market,CoinTelegraph,2024-08-16,Negative,17643,,1,,1,,,
Bitcoin Price Volatility Increases,Regulation,CryptoSlate,2024-09-10,Positive,27060,1,,,,1,1,
New Crypto ETF Gains Approval,Market,CoinTelegraph,2024-11-16,Negative,6839,,1,,1,,,
Bitcoin Halving Event Sparks Investor Interest,Mining,CryptoSlate,2024-06-13,Negative,30129,,1,,,,1,
Bitcoin Mining Faces Energy Concerns,Regulation,Bitcoin Magazine,2024-11-02,Neutral,39873,,,1,,1,1,
Bitcoin Price Volatility Increases,Investment,CryptoSlate,2024-11-09,Positive,45397,1,,,,,1,
Bitcoin Halving Event Sparks Investor Interest,Regulation,CryptoSlate,2024-08-04,Neutral,49196,,,1,,1,1,
Countries Debate Crypto Regulations,Investment,CryptoSlate,2025-01-05,Neutral,4077,,,1,,,,
Bitcoin Mining Faces Energy Concerns,Market,Bitcoin Magazine,2024-05-14,Positive,5388,1,,,1,,,
Bitcoin Halving Event Sparks Investor Interest,Regulation,Bitcoin Magazine,2024-10-16,Neutral,30569,,,1,,1,1,
Regulators Crack Down on Bitcoin Exchanges,Market,CryptoSlate,2025-02-05,Negative,13217,,1,,1,,,
New Crypto ETF Gains Approval,Market,CryptoSlate,2024-06-25,Positive,32178,1,,,1,,1,
Bitcoin Hits New All-Time High,Investment,Bitcoin Magazine,2025-01-06,Neutral,30572,,,1,,,1,
Crypto Market Sees Sharp Decline,Regulation,Bitcoin Magazine,2025-03-13,Positive,11483,1,,,,1,,
Countries Debate Crypto Regulations,Regulation,Forbes Crypto,2024-05-08,Negative,12789,,1,,,1,,
Bitcoin Mining Faces Energy Concerns,Mining,CoinDesk,2024-05-07,Positive,43935,1,,,,,1,1
Bitcoin Hits New All-Time High,Mining,Bitcoin Magazine,2024-11-23,Neutral,24027,,,1,,,1,
Major Bank Adopts Blockchain Technology,Mining,CoinDesk,2024-12-27,Negative,42602,,1,,,,1,1
Major Bank Adopts Blockchain Technology,Market,CoinDesk,2024-07-14,Positive,21682,1,,,1,,1,1
Elon Musk Tweets About Crypto Again,Adoption,Forbes Crypto,2024-05-10,Positive,43266,1,,,,,1,
Regulators Crack Down on Bitcoin Exchanges,Mining,CoinDesk,2024-08-30,Positive,42406,1,,,,,1,1
Bitcoin Hits New All-Time High,Investment,CoinTelegraph,2024-04-14,Neutral,22855,,,1,,,1,
Bitcoin Price Volatility Increases,Market,Forbes Crypto,2025-03-03,Positive,34208,1,,,1,,1,
Bitcoin Mining Faces Energy Concerns,Mining,CoinDesk,2024-03-26,Negative,33096,,1,,,,1,1
Bitcoin Price Volatility Increases,Investment,Bitcoin Magazine,2024-11-24,Neutral,23720,,,1,,,1,
New Crypto ETF Gains Approval,Regulation,CoinTelegraph,2025-02-03,Neutral,3133,,,1,,1,,
Major Bank Adopts Blockchain Technology,Regulation,CryptoSlate,2024-05-11,Negative,34363,,1,,,1,1,
Regulators Crack Down on Bitcoin Exchanges,Regulation,CoinDesk,2024-08-10,Negative,8218,,1,,,1,,1
Bitcoin Price Volatility Increases,Market,CryptoSlate,2024-07-23,Negative,46831,,1,,1,,1,
Bitcoin Halving Event Sparks Investor Interest,Investment,CoinDesk,2024-10-11,Positive,28002,1,,,,,1,1
Bitcoin Halving Event Sparks Investor Interest,Investment,CoinTelegraph,2024-12-19,Positive,8535,1,,,,,,
Bitcoin Hits New All-Time High,Regulation,CoinTelegraph,2025-03-13,Negative,7457,,1,,,1,,
Bitcoin Mining Faces Energy Concerns,Mining,CoinDesk,2024-07-15,Positive,49968,1,,,,,1,1
Crypto Market Sees Sharp Decline,Regulation,CryptoSlate,2024-07-12,Neutral,35756,,,1,,1,1,
